Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
CENTRAL DE INVERSIONES S. A. :);860042945;No Definido;No Definido;;
MINISTERIO DEL DEPORTE;899999306;Distrito Capital de Bogotá;Bogotá;;
EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE VILLAVICENCIO;822002459;Meta;Villavicencio;;
MUNICIPIO DE PACHAVITA;800028461;No Definido;No Definido;;
CONCEJO MUNICIPAL DE TURBO;841000125;Antioquia;Turbo;;
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES;800150861;No Definido;No Definido;;
HOSPITAL SAN ROQUE E.S.E DE GUACARI;891380046;Valle del Cauca;Guacarí;;
ALCALDÍA MUNICIPAL IQUIRA;891180131;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO  EL BANCO MAGDALENA;819001482;Distrito Capital de Bogotá;Bogotá;;
ALCALDIA MUNICIPIO DE RIONEGRO;890204646;Santander;Rionegro;;
SENA REGIONAL CHOCO Grupo de Apoyo Administrativo Mixto;899999034;Chocó;Quibdó;;
JURISDICCION ESPECIAL DE PAZ;901140004;No Definido;No Definido;;
INSTITUTO MUNICIPAL DE CULTURA; RECREACION; DEPORTE Y TURISMO DE CARTAGENA DEL CHAIRA;828002189;Caquetá;Cartagena Del Chairá
CONTRALORIA GENERAL DEL DEPARTAMENTO DEL MAGDALENA;891780092;Magdalena;Santa Marta;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE MEDIANA SEGURIDAD PITALITO - INPEC;813001834;Huila;Pitalito;;
ALCALDIA MUNICIPIO DE CUCAITA;891802089;Boyacá;Cucaita;;
CONTRALORIA DEPARTAMENTAL  DE NARIÑO;800157830;Nariño;Pasto;;
MUNICIPIO EL DONCELLO;800095760;Caquetá;El Doncello;;
POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA;800141397;Distrito Capital de Bogotá;No Definido;;
COMPLEJO PENITENCIARIO Y CARCELARIO METROPOLITANO DE CUCUTA;900577112;Norte de Santander;Cúcuta;;
ALCALDIA MUNICIPAL FUSAGASUGA;890680008;No Definido;No Definido;;
MINISTERIO DE DEFENSA NACIONAL;899999003;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE VILLAGOMEZ;899999447;No Definido;No Definido;;
MUNICIPIO DE FLORENCIA;800095728;Caquetá;Florencia;;
CONTADURÍA GENERAL DE LA NACIÓN;830025406;Distrito Capital de Bogotá;Bogotá;;
INSTITUCION EDUCATIVA COSANZA;8130101025;Huila;Timaná;;
ALCALDIA MUNICIPAL DE VILLETA;899999312;Cundinamarca;Villeta;;
CENTRAL ADMINISTRATIVA Y CONTABLE  PUENTE ARANDA;830039548;Distrito Capital de Bogotá;Bogotá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIA DE SANTA BARBARA;811010109;Antioquia;Santa Bárbara;;
INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA;812004130;Córdoba;Montería;;
ALCALDIA MUNICIPIO DE GIRON SANTANDER;890204802;Santander;Girón;;
ALCALDIA MUNICIPAL DE MORALES BOLIVAR;890480431;No Definido;No Definido;;
DEPARTAMENTO DE POLICIA CESAR - AREA DE SANIDAD;800140623;Cesar;Valledupar;;
MUNICIPIO DE PAJARITO;800065593;Boyacá;Pajarito;;
INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS;830000167;Arauca;Arauca;;
CONCEJO MUNICIPAL DE FUSAGASUGA;901184118;Cundinamarca;Fusagasugá;;
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E;9009585649;No Definido;No Definido;;
EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE AMBALEMA E.S.P;809001459;Tolima;Ambalema;;
INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DE BUCARAMANGA;804014968;Santander;Bucaramanga;;
CARCEL Y PENITENCIERIA DE MEDIA SEGURIDAD DE CHIQUINQUIRA - INPEC;820000960;Boyacá;Chiquinquirá;;
UNIDAD PARA LAS VÍCTIMAS - FONDO PARA LA REPARACIÓN DE LAS VÍCTIMAS;900490473;Distrito Capital de Bogotá;No Definido;;
ALCALDIA MUNICIPAL DE PUERTO SALGAR;899999413;Cundinamarca;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIO SALAMINA;810001373;Caldas;Salamina;;
Rama Judicial  Dirección Seccional de Administración Judicial de Cartagena;800165831;Bolívar;Cartagena;;
ALCALDÍA MUNICIPAL DE RÁQUIRA;891801244;No Definido;No Definido;;
CORPORACION FRESNENSE DE OBRAS SANITARIAS;800123131;Tolima;Fresno;;
UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO;9005077411;Distrito Capital de Bogotá;Bogotá;;
COMISIÓN DE REGULACIÓN DE COMUNICACIONES;830002593;Distrito Capital de Bogotá;Bogotá;;
ALCALDIA MUNICIPIO DE MANZANARES;890802505;No Definido;No Definido;;
ARMADA DE COLOMBIA - COMANDO GUARDACOSTAS DEL AMAZONAS;838000055;Amazonas;Leticia;;
